Payments to suppliers over £500 - April 2020,,,,,,,,,
,,,,,,,,,
Body Name,Service Label,Cost Centre,Expenditure Category,Nominal,NominalDesc,Accounting Date,System Reference,Line Amount SUM,Vendor Name
Norwich City Council,HRA Capital Expenditure,983000,Whole House Improvements,5120, Whole House Improvements     ,02/04/2020,9638,"11,365.52",NORWICH NORSE (BUILDING) LTD            
Norwich City Council,HRA Repairs,730020,Major & Minor Repairs,2142,Major & Minor Repairs         ,02/04/2020,9331,"21,838.33",NORWICH NORSE (BUILDING) LTD            
Norwich City Council,HRA Capital Expenditure,983000,Whole House Improvements,5120, Whole House Improvements     ,02/04/2020,9750,"27,923.66",NORWICH NORSE (BUILDING) LTD            
Norwich City Council,HRA Capital Expenditure,983000,Whole House Improvements,5120, Whole House Improvements     ,02/04/2020,9638,"37,674.69",NORWICH NORSE (BUILDING) LTD            
Norwich City Council,HRA Capital Expenditure,983000,Whole House Improvements,5120, Whole House Improvements     ,02/04/2020,9639,"44,419.58",NORWICH NORSE (BUILDING) LTD            
Norwich City Council,HRA Capital Expenditure,983000,Tower Block Regeneration,5182, Tower Block Regeneration     ,02/04/2020,9642,"46,870.56",NORWICH NORSE (BUILDING) LTD            
Norwich City Council,HRA Capital Expenditure,983000,Whole House Improvements,5120, Whole House Improvements     ,02/04/2020,9751,"47,401.88",NORWICH NORSE (BUILDING) LTD            
Norwich City Council,HRA Capital Expenditure,983000,Tower Block Regeneration,5182, Tower Block Regeneration     ,02/04/2020,9644,"53,461.49",NORWICH NORSE (BUILDING) LTD            
Norwich City Council,HRA Capital Expenditure,983000,Tower Block Regeneration,5182, Tower Block Regeneration     ,02/04/2020,9643,"57,499.07",NORWICH NORSE (BUILDING) LTD            
Norwich City Council,Neighbourhood Services,710120,Fleas/Wasps/Needles,2147,Fleas/Wasps/Needles           ,02/04/2020,9766,630.94,NORWICH NORSE (ENVIRONMENTAL) LTD       
